id,name,address,birthdate,nationality,ownership_percentage,type
1,Dana Wu,"0360 Daniel Valley Suite 857
Shepherdside, MO 03451",1990-11-10,Bhutan,88.77,Person
2,Stephen Martin,"11968 Wilson Wall Apt. 707
South Michelleburgh, AL 95833",1921-05-11,Nauru,82.07,Person
3,Jacqueline Edwards,"31667 Margaret Haven Suite 882
Mitchellville, IA 59791",2001-12-21,Morocco,91.24,Person
4,Cheryl Smith,"10344 King Ports Apt. 424
Ashleyville, WA 08621",1935-08-06,Israel,29.7,Company
5,Rebecca Walls,"707 Hebert Highway Apt. 886
East Justinland, WA 44656",1939-10-16,Gibraltar,67.84,Company
6,Marcus Miller,"40847 Stephanie Stream
New Zachary, PA 31249",1968-10-03,Papua New Guinea,20.75,Company
7,Caroline Brown,"0523 Ortega Canyon
West Matthewchester, MN 49228",2002-11-05,Montserrat,77.21,Person
8,Emily Lester,"0520 Johnson Vista
Alvarezside, NH 97160",1976-11-24,Bermuda,83.61,Company
9,Casey Perez,"93232 Underwood Radial
West Bryanborough, AL 68983",1941-12-03,Taiwan,38.82,Company
10,Rita Frank,"8057 Warren Forge
West Robertshire, NE 48901",1939-09-03,Zambia,21.41,Company
11,Brandon Ryan,"93160 Marissa Cliff Suite 047
Luisshire, UT 99614",1987-04-09,Senegal,40.13,Person
12,Madeline Jones,"684 Melissa Forks Apt. 910
Fitzgeraldton, CO 53468",1982-12-29,Albania,96.33,Person
13,Laura Sosa,"523 Steele Lane Apt. 719
Garciaville, OH 41593",2022-05-11,Saint Martin,75.46,Company
14,Juan Harris,"001 Kaitlyn Island Suite 618
Andersonmouth, MH 53012",1958-03-08,Madagascar,26.14,Person
15,Raymond Hopkins,"13101 Victoria Isle
North Elizabeth, LA 63823",1997-06-26,Mayotte,3.91,Company
16,Jerry Woods,"33732 Porter Coves Suite 395
New Brandon, RI 89476",1941-09-08,Solomon Islands,97.06,Company
17,Michael Mann,"739 Elliott Place Apt. 296
Port Tara, LA 83346",2017-12-08,Iraq,9.79,Company
18,Susan Fuentes,"569 Stephen Road Suite 087
Christopherport, MI 07482",2007-09-24,Tanzania,53.25,Person
19,Natalie Williams,"31691 Cox Run
Hughesville, MO 33542",1926-06-30,Heard Island and McDonald Islands,90.61,Person
20,Larry Merritt,"892 Johnson Pines
South Amber, VA 42216",1960-11-29,Nauru,58.85,Company
21,Mathew Buchanan,"78633 Sarah Extensions Apt. 957
Andrewside, PA 82010",2010-12-28,Northern Mariana Islands,70.28,Person
22,Jeanne Myers,"USNV Brown
FPO AA 11652",1925-01-22,Wallis and Futuna,44.05,Company
23,John Tucker,"34184 Ramos Plain
New Paulberg, GU 06041",1975-09-22,Cocos (Keeling) Islands,60.97,Person
24,Melanie Bowman,"USNV Hicks
FPO AA 27527",1966-08-24,Canada,46.97,Company
25,Jonathan Hernandez,"162 Julie Stream Suite 775
Lake Lisa, OK 04535",1986-08-16,Lesotho,48.03,Person
26,Bryan Dean,"7968 Nancy Highway
Smithfurt, NH 33387",1930-02-18,Tonga,9.42,Company
27,Andrea Juarez,"3400 Nathan Wall Apt. 181
Maxwellfurt, FL 57419",2012-02-25,Maldives,89.09,Company
28,Shannon Vargas,"Unit 4187 Box 1575
DPO AE 35089",2020-08-03,Dominican Republic,1.25,Company
29,Monique Dawson,"464 Tina Spurs
Hillview, IN 05216",1971-02-10,Bolivia,10.53,Person
30,Michelle Poole,"7468 Burton Mountains Suite 818
Nortonport, VI 70605",1958-04-11,French Guiana,36.75,Company
31,Anthony Johnson,"6623 Roger Street
Marialand, UT 99634",1992-11-10,Angola,14.2,Person
32,Jesse Wade,"22179 Tiffany Ridge Suite 315
Goodmanport, WV 32377",1951-04-10,Cayman Islands,61.13,Company
33,Alicia Raymond,"6112 Todd Hills
South Tyler, AR 57310",1952-08-13,Tuvalu,2.44,Person
34,Kimberly Anderson,"USS Vasquez
FPO AE 99413",1996-01-02,Jordan,44.87,Company
35,Miss Chelsea Jones MD,"Unit 4074 Box 3543
DPO AE 48487",1924-04-25,Lithuania,96.17,Person
36,Rebecca Hamilton,"849 Brenda Squares
Justinbury, WI 37377",1987-07-21,Burkina Faso,72.87,Person
37,Kimberly Ramirez,"8099 Walker Cliff
South Bridgetmouth, AR 23143",1954-10-11,Samoa,7.95,Company
38,Amber Williams,"1570 Alexander Centers Suite 075
Angelatown, PW 63140",1919-01-17,Guadeloupe,95.96,Person
39,Diana Meyer,"7442 Wanda Junctions Apt. 287
West Richardfurt, KY 49821",2024-02-18,Gabon,91.91,Company
