id,name,address,birthdate,nationality,ownership_percentage,type
1,John Andrews,"165 Deborah Inlet
East Ruben, MO 67350",2011-02-09,Mayotte,25.36,Person
2,April Harvey,"780 Emily Island Suite 287
Chungmouth, VT 77216",1969-02-03,Congo,64.04,Company
3,Mindy Rice,"36685 Tran Crossroad Apt. 581
North Amanda, WA 51326",1981-10-23,Saint Lucia,54.42,Person
4,Megan Bond,"74596 Christopher Streets
Collinshire, MS 04683",1931-01-14,Sweden,72.71,Person
5,Tina George,"6049 Christine Pine
Russellville, OK 98659",1984-03-09,Slovenia,37.77,Company
6,Michelle Miller,"3283 Melissa Shoal Suite 945
Jenniferhaven, GA 04350",1996-01-07,Botswana,47.42,Company
7,Dennis Garcia,"15304 Robles Greens Suite 956
Port Alvin, VA 27714",1934-10-06,Aruba,19.61,Person
8,John Maxwell,"4706 Smith Dale Suite 530
Lake Chad, NC 75396",1926-07-14,Portugal,38.17,Company
9,Kevin Hall,"87465 Gary Greens Apt. 632
Vickiland, DC 53400",1979-02-17,Denmark,37.42,Company
10,Christopher Bray,"3604 Hubbard Plaza
West Sarahville, LA 56274",2003-06-09,Zimbabwe,21.9,Company
11,Mr. David Schwartz,"279 Debbie Heights Apt. 626
West Dakota, IN 41223",1912-06-29,Honduras,30.54,Person
12,Steven Johnson,"234 Charles Summit Suite 159
Lake Tinaland, CT 63142",1915-12-02,Jordan,55.95,Person
13,Jonathan Gonzalez,"5025 Amy Light Apt. 721
Keithmouth, MP 43944",1974-09-28,Cocos (Keeling) Islands,2.06,Person
14,Max Clark,"6595 Vicki Shoal
Alexanderside, VA 11271",2014-02-24,Guadeloupe,88.62,Person
15,Rebecca Moreno,"Unit 1395 Box 9718
DPO AE 83664",1997-03-01,Papua New Guinea,93.89,Company
16,John Butler,"362 Sullivan Shores Suite 127
Flemingchester, OK 73983",1998-11-11,Dominican Republic,36.84,Person
17,Jessica Garcia,"6245 Snyder Avenue Suite 023
Michelleton, MN 47006",1994-05-16,Saint Lucia,29.29,Company
18,Jessica Palmer,"0612 Christopher Inlet Suite 319
Port Wanda, WY 21990",1973-02-13,Cyprus,26.24,Person
19,Calvin Ferguson,"907 Marie Plains
Martinezland, TX 33549",1935-10-27,Saint Helena,46.03,Person
20,Kristi Ashley,"00408 Robert Extensions
West Darren, MD 86930",1923-01-10,Korea,48.25,Person
21,Vanessa Delgado,"2558 Park Drive Suite 773
Lake Ashley, MH 05716",1974-11-19,Albania,19.13,Person
22,Gregory Bowen,"5401 Singh Extensions
Jamesburgh, NJ 46404",1915-01-22,Syrian Arab Republic,9.89,Company
23,Donald Martinez,"11386 William Extensions Suite 855
South Reneeshire, IL 44560",2001-08-24,Isle of Man,21.42,Company
24,Melissa Gross,"37686 Ashley Harbor Suite 194
Hollyland, WA 92074",2012-01-18,Lao People's Democratic Republic,6.96,Company
25,Joshua Jones,"6562 Paul Green
West Michaelland, LA 19867",1919-01-11,Grenada,79.49,Company
26,Katie Mack,"495 Johnson Key Suite 892
Nancyview, MP 23302",1982-05-16,Iceland,90.42,Person
27,Lucas Knight,"21211 Thomas Passage Suite 193
Hugheschester, PA 41313",1989-10-04,Mayotte,12.17,Company
28,Amy Hess MD,"PSC 0900, Box 6286
APO AA 34671",1981-11-20,Sri Lanka,14.35,Company
29,Timothy Warren,"59972 Sparks Haven
Lake Andreaport, NE 57011",1929-07-10,Cayman Islands,27.95,Person
30,Mrs. Cheryl Moore,"885 Monique Circle Suite 826
Howardview, TX 29227",1946-06-18,Central African Republic,21.51,Company
31,Christian Parks,"PSC 2354, Box 1215
APO AP 99082",1926-06-21,Guernsey,77.49,Company
32,Alexandria Lopez,"314 Hickman Hollow
Port Veronicashire, NJ 23765",2012-05-20,Puerto Rico,51.5,Person
33,Anita Mcdaniel,"968 Gonzalez Bypass Suite 472
Brittanyside, NY 68042",1961-06-15,Albania,72.61,Person
34,David Estes,"09212 Elizabeth Turnpike
West Robertmouth, NM 71692",2003-10-03,Namibia,58.59,Person
35,Antonio Thompson,"Unit 3611 Box 6891
DPO AP 29801",1948-05-06,Dominica,65.98,Person
36,Edward Foster,"86316 Williams Curve
Jeremyborough, MP 39356",1942-03-08,Mauritius,92.92,Person
37,Nicholas Moore,"905 Long Valley
Lake Christophertown, MI 86009",1977-07-18,Portugal,51.69,Person
38,Stephen Lester,"296 Nicole Wall
Andreachester, NE 99940",1940-09-18,Guyana,96.43,Person
39,Adrian Sanchez,"68578 Peterson Wall Apt. 149
Port James, PA 76935",1933-05-10,Bhutan,59.42,Company
40,Linda George,"PSC 4376, Box 9460
APO AE 67776",1924-06-22,Antigua and Barbuda,61.72,Person
41,Alyssa Bray,"187 Smith Tunnel Suite 795
Lake Brittanyburgh, IA 55022",2016-07-12,Rwanda,2.39,Company
42,Ashley Mitchell,"951 Robinson Valley Apt. 566
Julieburgh, PR 38207",1928-06-24,Jamaica,98.49,Company
43,Paul Tucker,"766 Heather Avenue
West Colleen, MH 43388",1968-12-30,Afghanistan,69.78,Person
44,Angela Flores,"13562 Bowers Glen Apt. 654
Brendamouth, IN 73926",1936-01-30,Nauru,99.73,Company
45,Jeffrey Cline,"8711 Paula Dale Suite 874
Vazquezberg, DC 92614",1939-12-16,Cuba,69.68,Person
46,Scott Thompson,"52003 Clark Islands Suite 279
Dianetown, NC 34040",1985-08-16,Central African Republic,53.68,Person
47,Jennifer Peters,"81245 Cassidy Gateway Suite 836
South David, MS 43854",1910-11-22,Timor-Leste,58.76,Company
48,Allen Levy,"73845 Anthony Plains
West Garrett, NC 16147",1923-09-26,Palestinian Territory,22.38,Company
49,Gavin Martin,"6021 Jackson Station
Robertville, DE 71565",1920-08-26,Pakistan,51.25,Person
50,Joseph Higgins,"1651 Brian Ford
Sandraport, MA 18827",2022-09-20,Guatemala,87.62,Person
51,Daniel Martinez,"83427 Lisa Mall
North Jackfurt, MS 32478",1985-01-23,Svalbard & Jan Mayen Islands,61.35,Company
52,James Rodriguez,"49093 Wendy Oval Suite 719
New Christinamouth, NV 48126",1968-07-10,Jersey,84.12,Person
